Reading 1,Reading 2,Reading 3,Reading 4,Label,Baseline
570,549,628,413,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
561,542,619,405,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
560,545,628,407,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
552,535,622,401,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
559,541,625,410,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
563,541,624,411,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
580,556,638,431,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
574,550,633,427,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
578,551,633,430,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
594,564,643,449,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
598,569,647,460,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
600,570,645,460,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
601,571,645,462,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
605,573,648,469,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
599,567,640,463,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
593,561,634,461,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
593,563,634,463,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
598,569,638,468,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
603,574,642,476,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
602,576,640,479,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
602,579,639,482,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
603,583,639,487,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
602,586,636,491,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
602,590,634,496,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
600,595,629,503,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
599,597,626,508,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
596,600,622,515,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
595,604,617,521,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
591,609,612,526,proper,"241.64948453608247,224.6701030927835,110.68041237113403,112.03092783505154"
