Reading 1,Reading 2,Reading 3,Reading 4,Reading 5,Reading 6,Reading 7,Reading 8,Reading 9,Reading 10,Label,Baseline
486,316,185,506,289,392,188,223,164,486,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
485,315,185,504,289,392,188,222,164,485,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
485,315,185,505,288,392,188,223,164,485,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
485,314,185,505,289,392,188,223,164,485,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
486,314,186,505,289,393,188,223,164,486,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
485,314,185,504,289,393,189,223,164,485,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
485,314,185,504,289,393,188,223,164,485,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
485,314,184,503,290,393,188,223,164,485,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
485,314,184,503,289,392,188,222,164,485,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
485,313,184,503,287,393,188,222,164,485,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
485,312,183,503,288,393,189,223,164,485,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
485,311,181,503,288,392,188,222,164,485,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
485,311,181,503,290,388,188,222,164,485,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
486,310,179,503,291,387,188,222,163,485,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
486,310,179,504,289,386,187,222,163,486,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
486,308,178,503,286,384,186,221,163,486,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
486,308,177,502,284,384,186,220,162,486,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
486,307,177,502,285,385,187,221,162,486,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
487,307,177,503,285,385,187,221,163,487,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
488,307,178,502,285,386,186,221,163,487,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
488,308,177,504,285,385,187,222,162,488,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
489,307,177,504,286,384,187,222,163,489,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
489,308,178,504,287,385,187,222,163,489,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
489,308,178,504,287,386,187,222,163,489,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
489,307,179,503,287,384,187,221,163,489,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
490,308,180,503,287,385,187,221,163,489,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
489,308,180,502,287,384,187,221,163,488,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
488,306,179,503,286,384,186,221,163,488,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
488,307,178,504,286,384,187,221,163,488,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
487,307,177,505,285,383,187,220,162,487,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
487,305,176,505,282,380,186,218,160,487,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
489,306,177,506,282,382,184,218,160,489,slouch,"79.95876288659794,83.23711340206185,119.83505154639175,82.81443298969072,101.38144329896907,85.05154639175258,172.4742268041237,133.4536082474227,166.22680412371133,79.81443298969072"
