Reading 1,Reading 2,Reading 3,Reading 4,Label,Baseline
565,577,577,568,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
567,577,577,568,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
567,579,578,568,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
566,579,577,569,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
566,580,578,568,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
566,579,578,570,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
566,579,579,569,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
567,579,578,570,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
568,578,579,570,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
567,577,579,570,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
567,575,579,570,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
566,574,579,570,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
565,573,578,569,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
563,573,578,570,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
562,571,579,570,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
560,571,578,569,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
560,570,577,569,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
559,570,577,568,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
558,570,577,567,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
559,570,577,567,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
558,570,577,567,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
559,570,578,565,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
558,570,578,564,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
558,570,578,562,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
558,570,578,562,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
558,571,578,561,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
559,571,578,561,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
559,571,579,561,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
559,571,578,561,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
559,571,578,561,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
558,570,578,561,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
556,570,579,560,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
553,569,578,559,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
552,569,578,558,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
552,570,578,558,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
553,570,578,559,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
553,570,578,559,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
553,569,578,559,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
551,569,579,559,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
551,567,579,560,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
550,567,579,560,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
550,567,579,560,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
550,567,579,559,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
550,568,578,558,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
548,567,578,558,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
546,566,578,558,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
547,566,578,558,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
550,565,577,558,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
554,566,576,558,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
557,566,576,557,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
559,567,576,557,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
561,567,577,558,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
562,567,577,558,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
566,572,578,558,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
566,574,578,558,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
564,574,578,558,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
560,573,579,559,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
555,571,577,559,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
551,570,578,559,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
550,568,578,560,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
549,568,578,560,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
550,568,578,560,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
551,569,579,559,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
551,568,579,559,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
551,568,578,560,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
551,568,579,560,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
551,567,579,560,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
551,567,579,560,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
551,568,579,560,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
551,568,579,561,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
551,569,579,561,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
550,569,579,561,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
550,569,580,560,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
551,569,579,560,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
550,569,579,559,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
549,569,579,559,lean forward,"256.0618556701031,229.8659793814433,151.3298969072165,139.28865979381445"
