Reading 1,Reading 2,Reading 3,Reading 4,Reading 5,Reading 6,Reading 7,Reading 8,Label,Baseline
552,618,528,505,85,148,333,267,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
555,620,529,506,85,148,333,267,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
554,619,529,506,84,149,334,267,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
557,620,527,507,85,149,332,269,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
556,619,527,507,84,150,335,271,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
555,620,528,507,86,151,335,272,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
555,620,527,507,86,151,335,272,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
555,619,527,507,86,151,335,273,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
554,619,528,506,86,151,335,274,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
549,618,524,505,86,151,334,273,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
549,620,526,506,86,151,334,272,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
550,618,526,506,85,151,334,270,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
551,620,527,506,85,150,334,271,lean forward,"173.1443298969072,142.05154639175257,84.73195876288659,67.95876288659794,86.14432989690722,170.15463917525773,147.05154639175257,158.84536082474227"
