Reading 1,Reading 2,Reading 3,Reading 4,Label
241,231,132,136,empty
241,231,131,136,empty
241,231,131,136,empty
241,231,131,136,empty
241,231,132,135,empty
241,231,132,136,empty
241,231,131,136,empty
241,231,131,136,empty
241,231,131,136,empty
241,230,132,136,empty
241,230,132,136,empty
241,231,131,136,empty
241,231,132,136,empty
241,231,132,136,empty
241,231,131,136,empty
241,231,132,136,empty
241,231,131,136,empty
241,231,132,136,empty
241,231,131,136,empty
241,231,132,136,empty
241,231,131,136,empty
241,231,132,136,empty
241,231,132,136,empty
241,231,132,136,empty
241,231,131,136,empty
241,231,131,136,empty
241,231,131,136,empty
241,231,132,136,empty
241,231,132,136,empty
241,231,132,136,empty
241,231,131,136,empty
242,231,132,137,empty
242,231,132,137,empty
242,231,132,137,empty
242,232,132,137,empty
242,232,132,137,empty
242,232,132,137,empty
242,232,132,137,empty
242,232,132,137,empty
242,232,133,137,empty
242,232,132,137,empty
242,232,133,137,empty
242,232,133,137,empty
242,232,133,138,empty
243,232,133,138,empty
242,232,133,138,empty
242,232,133,138,empty
243,233,133,138,empty
243,233,133,138,empty
243,233,133,138,empty
243,233,134,138,empty
243,232,133,138,empty
243,233,134,138,empty
243,232,134,138,empty
243,233,134,139,empty
243,233,133,139,empty
243,233,133,139,empty
243,233,134,139,empty
243,233,134,139,empty
243,233,134,139,empty
243,234,134,139,empty
243,233,134,139,empty
244,234,134,139,empty
243,233,134,138,empty
243,233,134,138,empty
243,233,134,139,empty
244,234,135,139,empty
244,234,134,139,empty
244,234,134,139,empty
244,234,134,139,empty
243,233,134,139,empty
243,234,134,139,empty
244,233,134,139,empty
244,233,134,139,empty
243,234,134,139,empty
243,233,134,139,empty
243,233,134,139,empty
243,233,134,139,empty
244,233,134,139,empty
243,233,134,139,empty
243,233,134,139,empty
243,233,134,139,empty
243,233,134,139,empty
243,233,134,139,empty
243,233,134,139,empty
244,234,134,139,empty
243,233,134,139,empty
244,234,134,139,empty
244,233,134,139,empty
243,234,134,140,empty
243,234,134,139,empty
244,234,134,139,empty
244,234,134,139,empty
244,234,134,139,empty
243,234,134,139,empty
243,233,134,139,empty
243,233,134,139,empty
243,233,134,139,empty
243,233,134,139,empty
243,234,134,139,empty
244,234,134,139,empty
244,234,135,139,empty
243,233,134,139,empty
243,234,134,139,empty
244,234,134,139,empty
243,233,135,139,empty
