Reading 1,Reading 2,Reading 3,Reading 4,Reading 5,Reading 6,Reading 7,Reading 8,Reading 9,Reading 10,Label,Baseline
368,437,462,305,320,312,151,140,162,368,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
368,438,464,302,316,308,150,137,161,368,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
368,439,466,303,317,304,150,138,162,367,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
367,439,467,303,317,304,151,138,164,366,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
367,440,471,304,319,301,148,132,160,368,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
369,439,475,303,349,301,149,134,160,369,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
367,450,474,310,376,302,152,138,163,366,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
363,445,471,307,342,300,151,136,160,364,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
367,437,478,314,341,306,153,140,161,367,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
365,448,476,315,334,306,153,139,160,364,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
366,438,478,307,332,315,149,137,161,366,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
371,443,481,307,353,320,162,156,172,371,lean_left,"59.649484536082475,60.88659793814433,93.51546391752578,59.11340206185567,85.26804123711341,66.36082474226804,135.7835051546392,118.35051546391753,203.2577319587629,59.58762886597938"
