Reading 1,Reading 2,Reading 3,Reading 4,Reading 5,Reading 6,Reading 7,Reading 8,Reading 9,Reading 10,Label,Baseline
216,277,311,396,494,472,121,133,177,216,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
214,277,311,397,495,472,119,133,177,214,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
216,279,313,400,497,475,122,137,180,217,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
216,279,312,399,496,475,124,136,179,215,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
213,277,311,397,494,473,121,133,177,213,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
212,276,310,396,493,465,120,133,177,212,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
212,276,309,396,493,462,119,132,176,212,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
211,275,308,395,492,462,119,131,176,211,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
213,277,310,397,494,461,122,133,178,213,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
214,277,310,397,494,461,121,133,179,213,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
211,275,307,395,492,460,117,131,176,211,lean_right,"69.51063829787235,80.67021276595744,100.35106382978724,74.84042553191489,88.62765957446808,74.97872340425532,120.59574468085107,118.37234042553192,150.98936170212767,69.52127659574468"
