Reading 1,Reading 2,Reading 3,Reading 4,Label,Baseline
636,522,595,496,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
634,522,595,495,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
634,521,594,495,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
633,521,595,495,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
633,521,594,494,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
634,521,595,494,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,521,595,493,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
635,520,596,492,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
635,520,595,492,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
635,520,596,492,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
637,520,596,491,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
637,519,597,490,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,519,597,490,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
637,519,597,490,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,519,596,488,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
637,519,596,488,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,518,597,488,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,518,597,487,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
637,516,597,486,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
639,515,597,485,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
638,515,597,485,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
637,516,597,486,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
637,516,597,485,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
639,517,597,485,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
638,516,597,485,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
639,516,597,486,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
638,515,596,485,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
637,515,597,485,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
639,515,596,485,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
639,517,597,485,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
640,516,597,485,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
639,515,596,484,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
638,515,596,484,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
639,515,596,484,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
639,515,596,484,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,515,595,483,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,514,595,483,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
635,514,595,483,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
637,513,595,483,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,513,595,483,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
636,512,594,483,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
637,512,595,483,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
637,512,596,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
637,512,595,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
637,512,595,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
639,512,594,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
640,512,595,483,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
640,512,594,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
640,513,595,483,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
640,512,595,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
639,513,595,481,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
639,513,595,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
640,513,595,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
639,513,595,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
640,512,595,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
640,512,595,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
640,511,595,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
643,511,595,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
639,511,595,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
640,511,595,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
641,511,595,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
640,511,595,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
640,511,595,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
640,510,594,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
639,510,595,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
641,510,594,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
640,510,594,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
640,510,594,481,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
639,510,594,481,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
642,510,594,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
639,510,594,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
640,510,594,483,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
641,511,594,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
640,510,594,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
639,510,594,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
641,511,594,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
640,510,594,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
640,511,594,483,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
641,510,594,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
641,510,594,483,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
642,510,594,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
640,510,594,482,lean left,"263.6185567010309,238.89690721649484,139.23711340206185,154.64948453608247"
