Reading 1,Reading 2,Reading 3,Reading 4,Label,Baseline
496,620,482,585,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
493,620,481,589,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
489,620,480,590,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
487,619,480,592,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
484,618,479,593,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
483,617,479,594,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
483,618,478,595,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
483,618,479,596,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
483,618,480,597,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
482,618,480,598,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
482,619,481,599,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
481,620,482,600,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
482,621,481,601,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
482,622,482,602,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
482,623,483,603,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
483,624,483,604,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
484,625,484,605,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
484,625,485,605,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
485,625,485,605,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
485,625,485,605,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
485,624,486,605,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
485,628,486,602,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
484,629,486,601,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
484,628,486,600,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
484,629,488,598,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
484,629,489,596,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
485,629,488,595,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
485,630,490,593,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
487,630,492,593,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
488,630,492,593,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
492,631,493,593,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
495,632,494,589,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
497,633,495,586,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
498,632,496,584,lean right,"262.78350515463916,240.64948453608247,143.15463917525773,152.76288659793815"
